keyword,seed,intent,suggested_title,notes,priority,slug
연금저축 IRP 차이,연금·세금,비교형,"연금저축과 IRP 차이 한눈 정리(한도·상품·인출)","한도 합산 900만, 위험자산 70% 규정, 중도인출 차이. [1p확인: 토스·뱅샐 등 대형사 강세→구체 사례로 차별화]",11,pension-savings-vs-irp
배당 ETF 세금 정리,ETF·시황,정보형,"배당 ETF 세금 총정리(국내·미국·연금계좌)","국내주식형 vs 기타 ETF 과세, 미국 ETF 배당 15% 원천징수",12,dividend-etf-tax
SCHD 국내 상장 ETF 비교,ETF·시황,비교형,"국내 상장 SCHD ETF 비교(수수료·규모)","미국배당다우존스 동일지수, 총보수+실부담 비교, 환헤지 유무. [1p확인: 개인 브런치 상위→틈 있음]",13,schd-korean-etf-comparison
커버드콜 ETF 단점,ETF·시황,비교형,"커버드콜 ETF 단점과 고분배율의 함정","원금서 분배 가능성, 상승장 수익 제한 원리",14,covered-call-etf-drawbacks
연금계좌 ETF 투자 방법,ETF·시황,실행형,"연금계좌에서 ETF 투자하는 방법과 규정","연금저축·IRP 매수 가능 ETF, 위험자산 한도 규정",15,pension-account-etf-investing
ETF 매매수수료 비교,ETF·시황,비교형,"ETF 총보수·실부담비용 비교하는 법","총보수 vs 기타비용+매매중개, 실부담비용 확인처",16,etf-fee-comparison
배당락일 계산 방법,배당,실행형,"배당락일 계산 방법 – 언제까지 사야 받나","기준일 2영업일 전 매수, 배당락일=기준일 전 영업일, 예시. [1p확인: 개인블로그 다수→진입 가능]",17,ex-dividend-date-calc
배당기준일 배당락일 차이,배당,정보형,"배당기준일과 배당락일 차이 쉽게 이해하기","세 날짜(기준일·배당락일·지급일) 관계, 헷갈림 포인트",18,record-date-vs-ex-date
분기배당 주식 종목,배당,비교형,"국내 분기배당 주식 종목과 배당월 정리","분기배당 대표 종목, 배당월 캘린더로 현금흐름 설계",19,quarterly-dividend-stocks
월배당주 국내 추천,배당,비교형,"국내 월배당주·월배당 ETF로 월급 만들기","월배당 조합 구성, 종목 나열이 아닌 배당월 분산 관점",20,korean-monthly-dividend-stocks
배당금 세금 얼마,배당,정보형,"배당금 세금 얼마나? 15.4% 원천징수 정리","원천징수 구조, 종합과세 기준, 실수령액 계산",21,dividend-tax-amount
배당주 언제 사야 배당 받나,배당,정보형,"배당주 언제 사야 배당 받을까(초보 가이드)","매수 마감일 개념, 배당락 후 매도해도 수령. [1p확인: KB 등 대형+개인 혼재]",22,when-to-buy-dividend-stocks
연금저축펀드 추천 초보,연금·세금,비교형,"연금저축펀드 초보가 상품 고르는 기준","인덱스·TDF 중심, 총보수·장기 적합성 기준",23,pension-savings-fund-guide
퇴직연금 IRP 운용 방법,연금·세금,실행형,"퇴직연금 IRP 운용 방법과 상품 배분","안전자산 30% 규정, 디폴트옵션, 리밸런싱",24,retirement-irp-management
나스닥 ETF 초보 추천,ETF·시황,비교형,"나스닥100 ETF 초보가 고르는 기준","국내상장 나스닥100 상품 비교, 환헤지·보수",25,nasdaq-etf-beginner-guide
미국 배당 ETF 추천,ETF·시황,비교형,"미국 배당 ETF 종류와 고르는 법(SCHD·VYM 등)","배당성장 vs 고배당 성격 구분, 과세 유의",26,us-dividend-etf-guide
S&P500 ETF 종류 비교,ETF·시황,비교형,"S&P500 ETF 종류 비교(보수·환헤지·TR)","대표 상품 총보수 비교, TR/일반, 환헤지/언헤지",27,sp500-etf-comparison
연금저축 세액공제 한도,연금·세금,정보형,"연금저축 세액공제 한도와 환급액 계산","600만 한도, 공제율, 환급 예시",28,pension-savings-tax-limit
월배당 ETF 추천 초보,ETF·시황,비교형,"월배당 ETF 초보 가이드 – 유형부터 구분","배당형·커버드콜·채권·리츠 유형 구분이 핵심. [1p확인: 운용사·매체 강세→경쟁 셈, 후순위]",29,monthly-dividend-etf-guide
고배당주 추천 초보,배당,비교형,"고배당주 고르는 법 – 배당수익률 함정 피하기","고배당의 함정(배당성향·실적), 종목보다 선별 기준. [경쟁 매우 셈]",30,high-dividend-stock-guide
